Cement,Water,Coarse aggregate,Fine aggregate,FA,SF,GGBFS,SP,Cylinder compressive strength
179.914803,182.643819,1120.453424,787.442358,152.079174,2.800953,35.306818,4.954264,25.3545
191.098623,306.308014,1724.021474,892.921277,97.49519,67.431917,143.149956,6.01301,39.309814
159.536729,148.672227,932.069453,628.380923,108.730618,63.116921,119.450884,8.123217,64.48268
281.448929,257.377585,1351.718077,864.152298,25.538343,55.155479,61.597396,1.364682,26.415843
367.255388,252.432031,1348.747448,782.299648,11.782337,5.640291,34.698837,4.469953,27.241027
511.46102,319.68682,1182.6051,661.262116,10.432248,8.585715,10.866127,9.201982,47.571192
377.472456,236.536628,1567.218187,808.528146,128.4224,42.404688,25.14073,8.170767,67.423452
337.655104,200.439275,1050.685809,529.556407,4.849923,14.333638,12.820229,3.141951,44.419781
446.566466,218.665874,1018.09365,487.283974,26.577641,5.988547,23.647091,2.926303,71.240733
329.578118,224.018793,1241.534948,637.202458,26.057156,18.660805,29.228695,3.971162,45.229476
209.64764,209.65447,1281.34011,1209.267187,229.394776,35.205525,116.501475,2.921938,81.286427
497.300914,308.524506,1276.836473,686.2519,45.688389,8.955065,25.613678,2.967511,55.238855
444.663193,158.444349,1396.950738,878.330945,23.989474,24.129234,5.261924,8.757751,81.234066
212.988823,194.002823,1022.479067,976.188702,109.59318,74.307098,133.875886,1.643806,83.450652
269.510471,192.063516,812.661775,516.193711,46.127203,54.927224,93.678137,8.37235,77.152284
280.399482,173.054936,1079.852456,947.270052,176.749863,14.73303,79.368297,2.546711,74.717392
331.314027,160.071692,800.287708,459.679806,23.488083,7.36321,83.381233,2.313047,63.644876
161.948572,214.678107,782.625487,730.407391,105.575594,58.081448,89.261872,1.565466,50.145065
145.033667,205.333667,770.745874,503.959696,76.734615,55.693649,120.349849,3.263019,58.02087
237.439167,215.134189,587.501791,448.4501,66.05579,43.448341,36.429957,4.774327,50.735332
167.280697,274.243583,848.218489,507.895067,51.974743,65.41202,182.561256,4.840837,49.027869
287.071751,155.269496,791.613031,436.117646,58.222931,24.260566,71.100128,8.245316,71.931752
349.815716,266.873248,1499.814792,820.616192,70.057961,22.135694,63.681204,7.13767,58.646103
155.612227,102.334622,1022.451564,575.863402,107.401334,6.566774,54.015,2.822259,61.84324
252.521127,224.242391,841.88569,593.082558,111.348127,44.488742,36.998536,4.644665,54.287192
353.709418,112.586868,902.782778,642.486529,23.5369,2.370428,42.633879,2.606577,83.197972
242.021189,102.42026,1055.538732,824.967305,61.776194,33.663174,37.250771,5.726291,71.97531
462.214728,272.980281,1027.125015,651.08162,7.532759,6.273347,10.54161,5.845751,42.786452
188.176761,229.887589,1232.633753,643.603667,110.640489,23.752314,119.31812,6.166471,61.543252
254.158139,148.512909,1048.483387,776.666584,49.89087,56.559667,43.388945,1.047852,64.536197
352.823315,200.52435,1045.39569,535.923557,15.502382,2.05357,8.257247,7.04813,39.10546
219.160547,210.510853,1546.114192,1429.979079,114.539732,74.903411,156.291046,10.715936,71.220416
190.338065,250.507208,800.512403,652.912849,96.283354,76.060523,180.607507,8.551204,66.554264
249.957521,263.901136,799.420355,572.799211,117.208533,54.222691,68.489966,1.7632,51.430118
290.345122,137.0392,1449.700418,742.764883,12.294194,8.617142,105.371705,3.57957,67.670552
350.61767,228.635899,1433.704554,955.845641,84.894058,20.744264,128.85355,4.221633,75.208826
455.654008,184.918725,1106.644725,585.654803,14.835328,0.021232,7.235098,4.792138,75.443839
